timestamp,ltz1000-p17-hammond
1514575604.683,7071442.1
1514575608.035,7071443.1
1514575611.388,7071442.6
1514575614.740,7071442.1
1514575618.092,7071443.9
1514575621.444,7071442.9
1514575624.796,7071443.4
1514575628.148,7071440.9
1514575631.500,7071442.9
1514575634.852,7071443.4
1514575638.204,7071442.1
1514575641.557,7071443.4
1514575644.909,7071443.1
1514575648.261,7071442.9
1514575651.613,7071443.4
1514575654.965,7071442.4
1514575658.317,7071441.6
1514575661.669,7071441.6
1514575665.022,7071441.1
1514575668.374,7071441.9
1514575671.726,7071442.6
1514575675.078,7071442.1
1514575678.430,7071442.6
1514575681.782,7071443.6
1514575685.135,7071442.9
1514575688.486,7071441.6
1514575691.839,7071441.9
1514575695.190,7071442.4
1514575698.543,7071442.9
1514575701.895,7071442.9
1514575705.247,7071443.4
1514575708.599,7071443.1
1514575711.951,7071442.6
1514575715.303,7071442.6
1514575718.655,7071441.9
1514575722.008,7071443.6
1514575725.360,7071443.6
1514575728.712,7071443.6
1514575732.064,7071444.4
1514575735.416,7071443.1
1514575738.768,7071443.4
1514575742.120,7071442.9
1514575745.472,7071444.7
1514575748.825,7071444.4
1514575752.177,7071444.9
1514575755.529,7071444.1
1514575758.881,7071443.4
1514575762.233,7071443.9
1514575765.585,7071446.2
1514575768.937,7071445.7
1514575772.289,7071443.9
1514575775.642,7071445.2
1514575778.993,7071443.9
1514575782.346,7071446.4
1514575785.698,7071443.9
1514575789.050,7071443.6
1514575792.402,7071444.7
1514575795.754,7071444.7
1514575799.106,7071443.6
1514575802.745,7071443.6
1514575805.810,7071444.9
1514575809.163,7071443.1
1514575812.514,7071444.1
1514575815.867,7071443.6
1514575819.219,7071442.6
1514575822.571,7071443.4
1514575825.924,7071442.4
1514575829.275,7071442.9
1514575832.628,7071443.9
1514575835.980,7071442.6
1514575839.331,7071441.9
1514575842.684,7071441.6
1514575846.036,7071443.6
1514575849.388,7071443.6
1514575852.740,7071443.6
1514575856.092,7071442.6
1514575859.444,7071444.1
1514575862.796,7071444.4
1514575866.149,7071445.4
1514575869.501,7071443.9
1514575872.853,7071445.7
1514575876.205,7071443.6
1514575879.557,7071445.4
1514575882.909,7071444.7
1514575886.261,7071444.7
