timestamp,ltz1000-p17-cotton-rounds
1514637196.939,7071494.1
1514637200.291,7071493.6
1514637203.643,7071494.6
1514637206.995,7071493.3
1514637210.347,7071493.8
1514637213.699,7071493.3
1514637217.052,7071494.1
1514637220.403,7071493.3
1514637223.755,7071495.1
1514637227.108,7071493.6
1514637230.459,7071493.6
1514637233.812,7071492.6
1514637237.164,7071494.1
1514637240.516,7071494.1
1514637243.868,7071493.3
1514637247.220,7071494.6
1514637250.572,7071494.9
1514637253.924,7071494.1
1514637257.276,7071492.8
1514637260.629,7071494.1
1514637263.980,7071494.2
1514637267.332,7071494.1
1514637270.685,7071493.1
1514637274.037,7071493.8
1514637277.389,7071494.4
1514637280.741,7071493.3
1514637284.096,7071493.6
1514637287.445,7071494.1
1514637290.797,7071494.1
1514637294.149,7071493.3
1514637297.502,7071495.1
1514637300.853,7071493.6
1514637304.206,7071493.8
1514637307.558,7071493.3
1514637310.910,7071492.6
1514637314.262,7071494.6
1514637317.614,7071493.3
1514637320.966,7071493.1
1514637324.318,7071493.8
1514637327.671,7071493.1
1514637331.023,7071493.6
1514637334.374,7071494.1
1514637337.726,7071493.1
