timestamp,332B
1500618441.706,9999042.9
1500618445.052,9999044.4
1500618448.397,9999044.9
1500618451.743,9999046.4
1500618455.088,9999045.2
1500618458.433,9999045.2
1500618461.779,9999044.6
1500618465.124,9999044.9
1500618468.470,9999045.9
1500618471.815,9999044.1
1500618475.161,9999044.1
1500618478.506,9999045.2
1500618481.851,9999045.7
1500618485.197,9999043.9
1500618488.542,9999045.7
1500618491.887,9999047.4
1500618495.233,9999045.4
1500618498.578,9999045.4
1500618501.924,9999044.9
1500618505.269,9999044.1
1500618508.615,9999045.4
1500618511.960,9999043.6
1500618515.305,9999045.2
1500618518.651,9999044.6
1500618521.996,9999043.4
1500618525.342,9999042.1
1500618528.687,9999041.1
1500618532.033,9999042.1
1500618535.378,9999041.9
1500618538.723,9999041.9
1500618542.069,9999043.1
1500618545.414,9999042.4
1500618548.759,9999041.4
1500618552.105,9999041.4
1500618555.450,9999041.9
1500618558.796,9999042.9
1500618562.141,9999042.4
1500618565.487,9999044.1
1500618568.832,9999044.1
1500618572.177,9999045.4
1500618575.523,9999043.9
1500618578.868,9999044.1
1500618582.214,9999044.6
1500618585.559,9999045.4
1500618588.905,9999045.4
1500618592.250,9999045.4
1500618595.595,9999045.2
1500618598.941,9999045.7
1500618602.286,9999044.4
1500618605.632,9999045.7
1500618608.977,9999045.2
1500618612.322,9999046.9
1500618615.668,9999045.4
1500618619.013,9999045.4
1500618622.359,9999045.4
1500618625.704,9999044.6
1500618629.050,9999047.2
1500618632.395,9999046.7
1500618635.740,9999046.9
1500618639.086,9999047.2
1500618642.431,9999046.4
1500618645.777,9999047.2
1500618649.122,9999048.5
1500618652.467,9999046.9
1500618655.813,9999045.7
1500618659.158,9999047.7
1500618662.504,9999046.4
1500618665.849,9999047.2
1500618669.194,9999045.7
1500618672.540,9999045.9
1500618675.885,9999045.2
1500618679.231,9999044.9
1500618682.576,9999043.6
1500618685.922,9999044.1
1500618689.267,9999043.4
1500618692.612,9999043.4
1500618695.958,9999042.6
1500618699.303,9999042.9
1500618702.649,9999043.1
1500618705.994,9999043.6
1500618709.340,9999043.1
1500618712.685,9999043.9
1500618716.030,9999042.6
1500618719.376,9999043.1
1500618722.721,9999044.4
1500618726.067,9999044.6
1500618729.412,9999042.4
1500618732.757,9999043.6
1500618736.103,9999043.9
1500618739.448,9999044.4
1500618742.794,9999044.6
1500618746.139,9999045.4
