timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521588984.30,24.944,53.990,25.000,-0.056,0.000
1521588984.71,24.944,53.982,25.000,-0.056,0.000
1521588985.12,24.944,53.959,25.000,-0.056,0.000
1521588985.52,24.955,53.998,25.000,-0.045,0.000
1521588985.93,24.944,53.990,25.000,-0.056,0.000
1521588986.34,24.944,53.982,25.000,-0.056,0.000
1521588986.75,24.965,53.998,25.000,-0.035,0.000
1521588987.16,24.955,54.005,25.000,-0.045,0.000
1521588987.56,24.944,53.998,25.000,-0.056,0.000
1521588987.97,24.955,53.998,25.000,-0.045,0.000
1521588988.38,24.955,53.990,25.000,-0.045,0.000
1521588988.79,24.922,53.982,25.000,-0.078,0.000
1521588989.20,24.965,53.990,25.000,-0.035,0.000
1521588989.60,24.955,53.990,25.000,-0.045,0.000
1521588990.01,24.944,53.990,25.000,-0.056,0.000
1521588990.42,24.955,53.990,25.000,-0.045,0.000
1521588990.83,24.955,53.990,25.000,-0.045,0.000
