timestamp,lm399,temp_c,humidity
1516252851.7,6.885838,7.884,75.367
1516252855.7,6.885836,7.862,75.337
1516252858.7,6.885838,7.830,75.322
1516252861.7,6.885836,7.830,75.299
1516252865.7,6.885838,7.830,75.238
1516252868.7,6.885837,7.809,75.223
1516252871.69,6.885837,7.798,75.207
1516252875.69,6.885838,7.787,75.146
1516252878.69,6.885838,7.777,75.139
1516252882.69,6.885839,7.766,75.093
1516252885.69,6.885838,7.766,75.062
1516252888.69,6.885840,7.755,75.039
1516252892.69,6.885839,7.734,75.032
1516252895.69,6.885839,7.734,75.009
1516252898.69,6.885838,7.723,74.956
1516252902.69,6.885837,7.723,74.933
1516252905.69,6.885838,7.691,74.910
1516252908.69,6.885839,7.702,74.887
1516252912.69,6.885840,7.702,74.818
1516252915.69,6.885839,7.670,74.833
1516252918.68,6.885840,7.670,74.780
1516252922.69,6.885837,7.670,74.742
1516252925.68,6.885838,7.659,74.727
1516252928.68,6.885840,7.659,74.727
1516252932.68,6.885837,7.638,74.688
1516252935.68,6.885836,7.648,74.681
1516252939.68,6.885835,7.605,74.643
1516252942.68,6.885836,7.627,74.605
1516252945.68,6.885836,7.616,74.605
1516252949.68,6.885836,7.616,74.582
1516252952.68,6.885834,7.595,74.566
1516252955.68,6.885835,7.605,74.536
1516252959.68,6.885836,7.573,74.536
1516252962.67,6.885835,7.584,74.528
1516252965.68,6.885836,7.584,74.513
1516252969.68,6.885834,7.563,74.490
1516252972.67,6.885833,7.563,74.482
1516252975.68,6.885832,7.541,74.482
1516252979.67,6.885831,7.563,74.460
1516252982.67,6.885834,7.541,74.467
1516252985.67,6.885831,7.573,74.460
1516252989.67,6.885833,7.552,74.460
1516252992.67,6.885833,7.573,74.437
1516252996.67,6.885832,7.563,74.475
1516252999.67,6.885833,7.552,74.452
1516253002.67,6.885833,7.520,74.437
1516253006.67,6.885833,7.563,74.421
1516253009.67,6.885833,7.552,74.429
1516253012.67,6.885833,7.563,74.406
1516253016.66,6.885834,7.541,74.391
1516253019.66,6.885836,7.541,74.383
1516253022.67,6.885834,7.541,74.368
1516253026.66,6.885834,7.541,74.360
1516253029.66,6.885836,7.541,74.330
1516253032.66,6.885834,7.563,74.330
1516253036.66,6.885834,7.520,74.307
1516253039.66,6.885834,7.520,74.307
1516253042.66,6.885835,7.531,74.299
1516253046.66,6.885835,7.520,74.261
1516253049.66,6.885835,7.520,74.276
1516253053.66,6.885834,7.509,74.254
1516253056.66,6.885834,7.520,74.231
1516253059.66,6.885834,7.498,74.215
1516253063.66,6.885833,7.541,74.193
1516253066.66,6.885833,7.509,74.177
1516253069.65,6.885835,7.520,74.154
1516253073.65,6.885834,7.531,74.124
1516253076.65,6.885833,7.531,74.101
1516253079.65,6.885834,7.520,74.086
1516253083.65,6.885833,7.520,74.070
1516253086.65,6.885833,7.498,74.063
1516253089.65,6.885832,7.531,74.063
1516253093.65,6.885833,7.509,74.032
1516253096.65,6.885833,7.520,74.009
1516253099.65,6.885831,7.520,74.009
1516253103.65,6.885831,7.509,73.987
1516253106.65,6.885832,7.498,73.979
1516253110.65,6.885833,7.541,73.941
1516253113.65,6.885832,7.531,73.964
1516253116.64,6.885832,7.509,73.964
1516253120.65,6.885832,7.541,73.941
1516253123.64,6.885831,7.541,73.926
1516253126.64,6.885829,7.552,73.918
1516253130.64,6.885831,7.531,73.910
1516253133.64,6.885832,7.541,73.903
1516253136.64,6.885831,7.552,73.887
1516253140.64,6.885831,7.541,73.880
1516253143.64,6.885830,7.552,73.849
1516253146.64,6.885831,7.541,73.865
1516253150.64,6.885830,7.541,73.842
1516253153.64,6.885832,7.563,73.826
1516253156.64,6.885832,7.563,73.811
1516253160.63,6.885834,7.573,73.811
1516253163.63,6.885833,7.552,73.773
1516253167.63,6.885834,7.552,73.735
1516253170.63,6.885836,7.584,73.735
1516253173.63,6.885834,7.584,73.712
1516253177.63,6.885835,7.563,73.704
1516253180.63,6.885833,7.573,73.681
1516253183.63,6.885833,7.584,73.674
1516253187.63,6.885835,7.595,73.651
1516253190.63,6.885836,7.563,73.613
1516253193.63,6.885834,7.573,73.613
1516253197.63,6.885835,7.584,73.597
1516253200.63,6.885834,7.595,73.590
1516253203.63,6.885835,7.584,73.544
1516253207.63,6.885835,7.605,73.529
1516253210.63,6.885834,7.584,73.529
1516253213.62,6.885835,7.605,73.491
1516253217.62,6.885836,7.627,73.475
1516253220.62,6.885835,7.627,73.475
1516253224.62,6.885833,7.627,73.422
1516253227.62,6.885831,7.595,73.422
1516253230.62,6.885834,7.616,73.430
1516253234.62,6.885835,7.605,73.391
1516253237.62,6.885834,7.627,73.376
1516253240.62,6.885835,7.616,73.376
1516253244.62,6.885834,7.638,73.353
1516253247.62,6.885834,7.616,73.338
1516253250.61,6.885835,7.638,73.308
1516253254.62,6.885836,7.638,73.285
1516253257.62,6.885835,7.648,73.269
1516253260.61,6.885835,7.638,73.262
1516253264.61,6.885836,7.638,73.231
1516253267.61,6.885836,7.605,73.231
1516253270.61,6.885835,7.648,73.224
1516253274.61,6.885837,7.638,73.170
1516253277.61,6.885836,7.648,73.163
1516253281.61,6.885836,7.648,73.140
1516253284.61,6.885835,7.670,73.124
1516253287.61,6.885836,7.670,73.132
1516253291.61,6.885835,7.670,73.094
1516253294.61,6.885835,7.659,73.071
1516253297.61,6.885834,7.670,73.071
1516253301.61,6.885830,7.670,73.063
1516253304.6,6.885833,7.680,73.056
1516253307.61,6.885838,7.702,73.033
