timestamp,svrt-no-tempco
1512921732.178,10000863.0
1512921735.530,10000881.0
1512921738.882,10000931.0
1512921742.235,10000966.0
1512921745.587,10000912.0
1512921748.939,10000893.0
1512921752.291,10000909.0
1512921755.642,10000844.0
1512921758.995,10000861.0
1512921762.347,10000850.0
1512921765.699,10000834.0
1512921769.051,10000837.0
1512921772.403,10000848.0
1512921775.756,10000865.0
1512921779.108,10000891.0
1512921782.459,10000865.0
1512921785.811,10000848.0
1512921789.163,10000912.0
1512921792.515,10000861.0
1512921795.868,10000923.0
1512921799.220,10000979.0
1512921802.572,10000978.0
1512921805.923,10000952.0
1512921809.276,10000956.0
1512921812.628,10000946.0
1512921815.980,10000975.0
1512921819.332,10000972.0
1512921822.685,10000990.0
1512921826.037,10000980.0
1512921829.388,10000981.0
1512921832.741,10000923.0
1512921836.093,10000973.0
1512921839.444,10000924.0
1512921842.796,10000870.0
1512921846.149,10000899.0
1512921849.501,10000868.0
1512921852.853,10000875.0
1512921856.205,10000890.0
1512921859.557,10000981.0
1512921862.909,10000981.0
1512921866.261,10000984.0
1512921869.613,10001022.0
1512921872.965,10000989.0
1512921876.318,10000919.0
1512921879.670,10000889.0
1512921883.022,10000901.0
1512921886.373,10000906.0
1512921889.725,10000869.0
1512921893.078,10000868.0
