timestamp,lm399-cotton-rounds
1514608322.216,6885961.7
1514608325.569,6885962.0
1514608328.920,6885962.2
1514608332.273,6885962.0
1514608335.625,6885960.4
1514608338.977,6885960.9
1514608342.330,6885960.4
1514608345.681,6885961.7
1514608349.034,6885960.7
1514608352.385,6885961.5
1514608355.738,6885962.0
1514608359.090,6885962.0
1514608362.442,6885960.7
1514608365.794,6885963.0
1514608369.146,6885961.2
1514608372.499,6885961.2
1514608375.850,6885961.2
1514608379.203,6885961.5
1514608382.555,6885960.2
1514608385.907,6885960.7
1514608389.259,6885960.7
1514608392.611,6885963.2
1514608395.963,6885962.5
1514608399.316,6885962.0
1514608402.667,6885961.2
1514608406.020,6885962.2
1514608409.372,6885962.5
1514608412.724,6885962.5
1514608416.076,6885962.0
1514608419.428,6885962.5
1514608422.780,6885961.7
1514608426.132,6885961.2
1514608429.484,6885961.7
1514608432.837,6885960.9
1514608436.188,6885963.2
1514608439.541,6885962.2
1514608442.893,6885962.2
1514608446.245,6885962.0
1514608449.597,6885962.8
1514608452.950,6885962.7
1514608456.301,6885962.2
1514608459.653,6885963.2
1514608463.006,6885962.2
1514608466.357,6885962.2
1514608469.710,6885960.7
1514608473.062,6885962.5
1514608476.414,6885962.2
1514608479.766,6885961.2
1514608483.119,6885961.7
1514608486.470,6885963.5
1514608489.823,6885963.0
1514608493.175,6885962.5
1514608496.527,6885961.6
1514608499.879,6885962.0
1514608503.231,6885961.5
1514608506.583,6885963.2
1514608509.936,6885963.7
1514608513.287,6885964.5
1514608516.640,6885964.0
1514608519.992,6885963.5
1514608523.344,6885961.7
1514608526.696,6885961.6
1514608530.048,6885962.5
1514608533.400,6885962.2
1514608536.753,6885963.2
1514608540.104,6885962.0
1514608543.456,6885962.0
1514608546.809,6885962.5
1514608550.160,6885961.5
1514608553.513,6885962.0
1514608556.864,6885961.5
1514608560.217,6885960.2
1514608563.569,6885962.5
1514608566.921,6885962.2
1514608570.273,6885962.0
1514608573.626,6885961.5
1514608576.977,6885961.5
1514608580.330,6885962.7
1514608583.681,6885962.5
1514608587.034,6885963.0
1514608590.387,6885962.7
1514608593.738,6885960.9
1514608597.090,6885961.2
1514608600.442,6885961.5
1514608603.795,6885960.9
1514608607.147,6885959.9
1514608610.499,6885960.4
1514608613.851,6885961.7
1514608617.203,6885962.5
1514608620.555,6885961.2
1514608623.907,6885960.7
1514608627.260,6885960.9
1514608630.611,6885958.9
1514608633.964,6885962.0
1514608637.316,6885963.2
1514608640.668,6885960.4
1514608644.020,6885963.0
1514608647.372,6885961.5
1514608650.724,6885961.5
1514608654.077,6885961.7
1514608657.428,6885962.2
1514608660.781,6885961.5
1514608664.133,6885962.2
1514608667.485,6885961.5
1514608670.837,6885960.9
1514608674.189,6885962.5
1514608677.541,6885960.4
1514608680.893,6885960.4
1514608684.245,6885960.9
1514608687.598,6885960.9
1514608690.949,6885961.5
1514608694.302,6885961.2
1514608697.654,6885961.5
1514608701.006,6885961.7
1514608704.359,6885961.7
1514608707.710,6885961.5
1514608711.063,6885959.9
1514608714.414,6885961.5
1514608717.767,6885960.9
1514608721.118,6885962.5
1514608724.471,6885964.7
1514608727.823,6885964.5
1514608731.175,6885964.7
1514608734.528,6885965.0
