time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
163,30.1991,86.35839,43.5377,24.8366,76.70580,53.7839,30.157543,28.8366,1.950,196,0.0000,-0.0502,32.0000
164,30.1991,86.35839,43.5529,24.8151,76.66719,53.7763,30.166927,28.8151,1.950,196,0.0000,-0.0491,32.0000
165,30.2206,86.39699,43.5300,24.8366,76.70580,53.7763,30.174970,28.8366,1.950,196,0.0000,-0.0461,32.0000
166,30.2098,86.37770,43.5071,24.8366,76.70580,53.7610,30.184356,28.8366,1.950,196,0.0000,-0.0464,32.0000
167,30.2313,86.41630,43.5224,24.8258,76.68650,53.7687,30.195079,28.8258,1.950,196,0.0000,-0.0488,32.0000
168,30.2420,86.43561,43.5148,24.8151,76.66719,53.7687,30.207145,28.8151,1.950,196,0.0000,-0.0526,32.0000
169,30.2635,86.47422,43.5071,24.8151,76.66719,53.7839,30.217868,28.8151,1.950,196,0.0000,-0.0530,32.0000
170,30.2420,86.43561,43.4919,24.8151,76.66719,53.7610,30.225914,28.8151,1.950,196,0.0000,-0.0487,32.0000
171,30.2635,86.47422,43.4919,24.8258,76.68650,53.7839,30.233959,28.8258,1.950,196,0.0000,-0.0459,32.0000
172,30.2849,86.51284,43.4690,24.8258,76.68650,53.7687,30.244682,28.8258,1.950,196,0.0000,-0.0485,32.0000
173,30.2956,86.53214,43.4766,24.8258,76.68650,53.7687,30.254070,28.8258,1.950,196,0.0000,-0.0480,32.0000
174,30.2849,86.51284,43.4766,24.8258,76.68650,53.7916,30.263452,28.8258,1.950,196,0.0000,-0.0476,32.0000
175,30.2956,86.53214,43.4690,24.8366,76.70580,53.7839,30.271499,28.8366,1.950,196,0.0000,-0.0452,32.0000
176,30.3064,86.55145,43.4614,24.8258,76.68650,53.7763,30.279544,28.8258,1.950,196,0.0000,-0.0435,32.0000
177,30.3171,86.57074,43.4537,24.8258,76.68650,53.7916,30.286247,28.8258,1.950,196,0.0000,-0.0402,32.0000
178,30.3171,86.57074,43.4461,24.8366,76.70580,53.7687,30.295631,28.8366,1.950,196,0.0000,-0.0424,32.0000
179,30.3493,86.62866,43.4461,24.8473,76.72512,53.7763,30.306354,28.8473,1.950,196,0.0000,-0.0462,32.0000
180,30.3385,86.60936,43.4308,24.8366,76.70580,53.7916,30.313056,28.8366,1.950,196,0.0000,-0.0419,32.0000
181,30.3600,86.64797,43.4308,24.8366,76.70580,53.7916,30.321102,28.8366,1.950,196,0.0000,-0.0414,32.0000
182,30.3600,86.64797,43.4232,24.8473,76.72512,53.7763,30.330486,28.8473,1.950,196,0.0000,-0.0432,32.0000
183,30.3707,86.66727,43.4080,24.8580,76.74440,53.7916,30.339870,28.8580,1.950,196,0.0000,-0.0445,32.0000
184,30.3600,86.64797,43.4156,24.8473,76.72512,53.7839,30.346572,28.8473,1.950,196,0.0000,-0.0408,32.0000
185,30.3707,86.66727,43.4080,24.8258,76.68650,53.7839,30.353277,28.8258,1.950,196,0.0000,-0.0384,32.0000
186,30.3922,86.70589,43.4080,24.8366,76.70580,53.7763,30.362661,28.8366,1.950,196,0.0000,-0.0412,32.0000
187,30.4243,86.76380,43.3927,24.8366,76.70580,53.7687,30.372047,28.8366,1.950,196,0.0000,-0.0431,32.0000
188,30.4136,86.74449,43.3774,24.8151,76.66719,53.7687,30.381431,28.8151,1.950,196,0.0000,-0.0444,32.0000
189,30.4351,86.78311,43.3774,24.8366,76.70580,53.7763,30.390815,28.8366,1.950,196,0.0000,-0.0452,32.0000
190,30.4243,86.76380,43.3851,24.8366,76.70580,53.7839,30.398857,28.8366,1.950,196,0.0000,-0.0436,32.0000
191,30.4458,86.80240,43.3622,24.8151,76.66719,53.7839,30.408241,28.8151,1.950,196,0.0000,-0.0447,32.0000
192,30.4458,86.80240,43.3546,24.8258,76.68650,53.7916,30.418968,28.8258,1.950,196,0.0000,-0.0477,32.0000
193,30.4672,86.84102,43.3546,24.8151,76.66719,53.7763,30.431034,28.8151,1.950,196,0.0000,-0.0519,32.0000
194,30.4672,86.84102,43.3622,24.8366,76.70580,53.7687,30.440418,28.8366,1.950,196,0.0000,-0.0502,32.0000
