timestamp,ltz1000-3-to-4
1514703584.009,17518.5
1514703587.361,17518.6
1514703590.713,17517.8
1514703594.065,17517.7
1514703597.418,17518.1
1514703600.770,17517.4
1514703604.122,17518.1
1514703607.475,17517.8
1514703610.826,17518.0
1514703614.179,17518.8
1514703617.530,17517.9
1514703620.883,17518.4
1514703624.235,17518.9
1514703627.587,17517.5
1514703630.939,17516.7
1514703634.291,17517.5
1514703637.644,17517.7
1514703640.996,17517.3
1514703644.348,17517.6
1514703647.700,17519.1
1514703651.052,17517.6
1514703654.404,17517.8
1514703657.756,17517.4
1514703661.109,17517.7
1514703664.460,17517.7
1514703667.813,17517.5
1514703671.165,17517.6
1514703674.517,17518.1
1514703677.870,17518.1
1514703681.222,17518.0
1514703684.574,17520.3
1514703687.926,17517.8
1514703691.279,17517.8
1514703694.630,17517.8
1514703697.983,17517.9
1514703701.334,17518.0
1514703704.687,17517.9
1514703708.038,17518.2
1514703711.391,17518.3
1514703714.744,17518.5
1514703718.095,17518.0
1514703721.448,17518.1
1514703724.799,17517.8
1514703728.152,17518.4
1514703731.504,17518.3
1514703734.856,17517.6
1514703738.209,17517.3
1514703741.561,17517.2
1514703744.913,17517.2
1514703748.265,17516.5
1514703751.617,17516.5
1514703754.969,17517.1
1514703758.321,17517.1
1514703761.673,17517.5
1514703765.026,17516.5
1514703768.378,17516.9
1514703771.730,17517.0
1514703775.082,17517.0
1514703778.434,17517.5
1514703781.786,17517.4
1514703785.138,17517.4
1514703788.491,17517.4
1514703791.843,17517.3
1514703795.195,17517.2
1514703798.547,17517.8
1514703801.899,17517.5
1514703805.252,17518.1
1514703808.604,17518.7
1514703811.956,17517.9
1514703815.308,17517.7
1514703818.660,17517.8
1514703822.012,17518.6
1514703825.364,17518.8
1514703828.717,17519.1
1514703832.069,17519.2
1514703835.421,17519.1
1514703838.773,17518.8
1514703842.126,17519.1
1514703845.477,17519.2
1514703848.830,17520.1
1514703852.181,17519.9
1514703855.534,17518.2
1514703858.886,17517.9
1514703862.238,17518.2
1514703865.591,17518.1
1514703868.942,17519.8
1514703872.295,17520.4
1514703875.647,17519.5
1514703878.999,17518.0
1514703882.351,17519.2
1514703885.703,17520.6
1514703889.055,17521.0
1514703892.408,17520.6
1514703895.760,17520.7
1514703899.112,17521.6
1514703902.464,17521.0
1514703905.816,17520.3
1514703909.169,17518.8
1514703912.520,17519.4
1514703915.873,17519.5
1514703919.225,17518.9
1514703922.577,17519.3
1514703925.929,17519.3
1514703929.282,17519.0
1514703932.633,17518.9
1514703935.986,17520.9
1514703939.338,17521.4
1514703942.690,17520.8
1514703946.042,17520.9
1514703949.395,17520.3
1514703952.746,17520.6
1514703956.099,17520.3
1514703959.450,17520.4
1514703962.803,17520.1
1514703966.155,17519.9
1514703969.507,17520.2
1514703972.859,17520.2
1514703976.212,17520.1
1514703979.563,17520.1
1514703982.916,17520.0
1514703986.268,17519.9
1514703989.620,17519.5
1514703992.972,17519.8
1514703996.324,17519.6
1514703999.676,17519.5
1514704003.029,17519.7
1514704006.381,17519.6
1514704009.733,17519.7
1514704013.086,17519.5
1514704016.437,17519.6
1514704019.790,17519.5
1514704023.141,17519.4
1514704026.494,17519.9
1514704029.845,17519.7
1514704033.198,17519.7
1514704036.550,17520.2
1514704039.903,17520.4
1514704043.254,17520.1
1514704046.607,17520.5
1514704049.958,17520.4
1514704053.311,17520.5
1514704056.663,17520.1
1514704060.015,17520.1
1514704063.367,17520.3
1514704066.720,17520.1
1514704070.072,17519.9
1514704073.424,17520.3
1514704076.776,17520.1
1514704080.128,17519.8
1514704083.480,17520.1
1514704086.833,17521.1
1514704090.185,17522.0
1514704093.537,17520.4
1514704096.889,17519.9
1514704100.242,17519.4
1514704103.593,17519.6
1514704106.945,17520.2
1514704110.298,17519.8
1514704113.649,17519.6
1514704117.002,17519.5
1514704120.354,17519.9
1514704123.706,17519.5
1514704127.058,17519.7
1514704130.411,17519.5
1514704133.762,17519.6
1514704137.115,17519.8
1514704140.467,17519.7
1514704143.819,17519.6
1514704147.171,17519.5
1514704150.523,17519.6
1514704153.875,17519.6
1514704157.228,17519.6
1514704160.579,17519.6
1514704163.932,17519.7
1514704167.284,17519.4
1514704170.636,17519.6
1514704173.988,17519.9
1514704177.341,17519.8
1514704180.693,17519.8
1514704184.045,17519.9
1514704187.397,17519.8
1514704190.749,17519.8
1514704194.102,17519.6
1514704197.453,17519.5
1514704200.806,17519.8
1514704204.158,17519.5
1514704207.510,17519.6
1514704210.862,17519.7
1514704214.215,17519.8
1514704217.566,17520.0
1514704220.919,17519.7
1514704224.270,17519.7
1514704227.623,17519.8
1514704230.975,17519.8
1514704234.327,17520.0
1514704237.679,17519.9
1514704241.032,17519.6
1514704244.383,17519.8
1514704247.736,17520.1
1514704251.088,17519.9
1514704254.440,17519.9
1514704257.793,17520.2
1514704261.144,17519.8
1514704264.497,17519.8
1514704267.849,17519.9
1514704271.201,17520.1
1514704274.553,17520.4
1514704277.906,17520.3
1514704281.257,17520.4
1514704284.610,17520.2
1514704287.961,17520.3
1514704291.314,17520.7
1514704294.666,17520.3
1514704298.018,17520.3
1514704301.370,17520.3
1514704304.723,17520.1
1514704308.074,17520.1
1514704311.427,17520.1
1514704314.779,17520.4
1514704318.131,17520.1
1514704321.483,17519.9
1514704324.835,17519.6
1514704328.188,17520.0
1514704331.540,17519.9
1514704334.892,17519.8
1514704338.244,17519.8
1514704341.597,17519.7
1514704344.948,17519.9
1514704348.301,17519.8
1514704351.652,17519.8
1514704355.005,17519.8
1514704358.357,17519.7
1514704361.709,17519.8
1514704365.061,17519.7
1514704368.413,17519.8
1514704371.765,17519.8
1514704375.118,17519.8
1514704378.469,17519.8
1514704381.822,17519.7
1514704385.174,17519.8
1514704388.526,17519.7
1514704391.878,17519.8
1514704395.231,17520.0
1514704398.582,17519.8
1514704401.935,17519.7
1514704405.287,17519.8
1514704408.639,17520.0
1514704411.991,17520.0
1514704415.344,17519.8
1514704418.695,17520.0
1514704422.048,17520.2
1514704425.399,17520.2
1514704428.752,17520.0
1514704432.104,17521.1
1514704435.456,17519.6
1514704438.808,17518.5
1514704442.161,17518.1
1514704445.512,17517.8
1514704448.865,17517.8
1514704452.218,17517.5
1514704455.569,17517.5
1514704458.921,17518.1
1514704462.273,17519.3
1514704465.626,17516.8
1514704468.978,17517.4
1514704472.330,17518.1
1514704475.682,17519.0
1514704479.035,17518.5
1514704482.386,17518.7
1514704485.739,17518.4
