timestamp,ambient_c,ambient_rh
1521233010.27,21.586,65.463
1521233011.88,21.576,65.468
1521233013.49,21.579,65.461
1521233015.10,21.577,65.461
1521233016.71,21.579,65.461
1521233018.32,21.575,65.451
1521233019.93,21.571,65.457
1521233021.54,21.569,65.450
1521233023.15,21.568,65.445
1521233024.76,21.563,65.443
1521233026.37,21.559,65.437
1521233027.98,21.561,65.436
1521233029.59,21.567,65.425
1521233031.20,21.556,65.419
1521233032.81,21.555,65.415
1521233034.42,21.563,65.416
1521233036.04,21.563,65.411
1521233037.65,21.547,65.406
1521233039.26,21.547,65.407
1521233040.87,21.548,65.404
1521233042.48,21.551,65.399
1521233044.09,21.543,65.401
1521233045.70,21.536,65.397
1521233047.31,21.541,65.393
1521233048.92,21.537,65.385
1521233050.53,21.531,65.374
1521233052.14,21.532,65.372
1521233053.75,21.543,65.370
1521233055.36,21.528,65.366
1521233056.97,21.529,65.357
1521233058.58,21.527,65.363
1521233060.19,21.517,65.346
1521233061.81,21.522,65.339
1521233063.42,21.518,65.338
1521233065.03,21.518,65.330
1521233066.64,21.514,65.324
1521233068.25,21.512,65.313
1521233069.86,21.508,65.308
1521233071.47,21.508,65.305
1521233073.08,21.508,65.287
1521233074.69,21.508,65.291
1521233076.30,21.498,65.281
1521233077.91,21.502,65.276
1521233079.52,21.490,65.273
1521233081.13,21.500,65.274
1521233082.74,21.489,65.273
1521233084.35,21.504,65.269
1521233085.96,21.488,65.270
1521233087.58,21.494,65.269
1521233089.19,21.492,65.268
1521233090.80,21.486,65.263
1521233092.41,21.488,65.264
1521233094.02,21.489,65.260
1521233095.63,21.476,65.269
1521233097.24,21.481,65.275
1521233098.85,21.476,65.278
1521233100.46,21.476,65.273
1521233102.07,21.477,65.279
1521233103.68,21.470,65.282
1521233105.29,21.476,65.289
1521233106.90,21.470,65.296
1521233108.51,21.465,65.301
1521233110.12,21.472,65.309
1521233111.73,21.464,65.311
1521233113.34,21.465,65.328
1521233114.96,21.470,65.328
1521233116.57,21.462,65.333
1521233118.18,21.466,65.340
1521233119.79,21.465,65.348
