volts,ppm,temp_c,ambient_c
1517900305.51,69997.084,0.45,24.998,21.233
1517900306.51,69997.084,0.45,24.999,21.254
1517900307.51,69997.023,-0.42,24.998,21.244
1517900308.51,69997.023,-0.42,25.0,21.244
1517900309.5,69997.023,-0.42,25.0,21.233
1517900310.5,69997.023,-0.42,25.001,21.233
1517900311.5,69997.041,-0.17,24.999,21.233
1517900312.51,69997.041,-0.17,24.999,21.233
1517900313.51,69997.041,-0.17,24.996,21.222
1517900314.51,69997.056,0.05,24.997,21.211
1517900315.51,69997.056,0.05,24.996,21.265
1517900316.51,69997.056,0.05,25.0,21.233
1517900317.51,69997.051,-0.02,24.999,21.233
1517900318.51,69997.051,-0.02,25.003,21.233
1517900319.51,69997.051,-0.02,25.0,21.233
1517900320.51,69997.051,-0.02,25.002,21.233
1517900321.51,69997.081,0.41,24.998,21.233
1517900322.51,69997.081,0.41,25.0,21.233
1517900323.51,69997.081,0.41,24.996,21.233
1517900324.51,69997.086,0.48,24.997,21.233
1517900325.51,69997.086,0.48,24.995,21.244
1517900326.51,69997.086,0.48,24.998,21.233
1517900327.51,69997.086,0.48,24.998,21.233
1517900328.51,69997.041,-0.17,25.002,21.244
1517900329.51,69997.041,-0.17,25.001,21.233
1517900330.51,69997.041,-0.17,25.005,21.244
1517900331.51,69997.023,-0.42,25.002,21.244
1517900332.51,69997.023,-0.42,25.002,21.233
1517900333.51,69997.023,-0.42,24.997,21.222
1517900334.51,69997.063,0.15,24.997,21.233
1517900335.51,69997.063,0.15,24.995,21.233
1517900336.51,69997.063,0.15,24.998,21.222
1517900337.51,69997.063,0.15,24.998,21.233
1517900338.51,69997.063,0.15,25.002,21.201
1517900339.51,69997.063,0.15,25.002,21.233
1517900340.51,69997.063,0.15,25.003,21.222
1517900341.51,69997.114,0.88,24.999,21.222
1517900342.51,69997.114,0.88,24.999,21.233
1517900343.51,69997.114,0.88,24.995,21.222
1517900344.51,69997.063,0.15,24.994,21.233
1517900345.51,69997.063,0.15,24.991,21.222
1517900346.51,69997.063,0.15,24.995,21.222
1517900347.51,69997.063,0.15,24.995,21.211
1517900348.51,69997.015,-0.54,25.0,21.233
1517900349.51,69997.015,-0.54,24.999,21.233
1517900350.51,69997.015,-0.54,25.001,21.233
1517900351.51,69997.056,0.05,24.999,21.222
1517900352.51,69997.056,0.05,25.0,21.222
1517900353.52,69997.056,0.05,24.997,21.211
1517900354.52,69997.061,0.12,24.998,21.19
1517900355.52,69997.061,0.12,24.997,21.222
1517900356.52,69997.061,0.12,24.998,21.233
1517900357.51,69997.061,0.12,24.996,21.233
1517900358.51,69997.033,-0.28,25.0,21.201
1517900359.51,69997.033,-0.28,24.998,21.222
1517900360.52,69997.033,-0.28,25.0,21.211
1517900361.52,69997.063,0.15,24.997,21.201
1517900362.52,69997.063,0.15,24.998,21.233
1517900363.52,69997.063,0.15,24.996,21.211
1517900364.52,69997.063,0.15,24.999,21.201
1517900365.52,69997.063,0.15,24.998,21.201
1517900366.52,69997.063,0.15,25.001,21.222
1517900367.52,69997.063,0.15,25.0,21.211
1517900368.52,69997.013,-0.57,25.001,21.211
1517900369.52,69997.013,-0.57,24.998,21.233
1517900370.52,69997.013,-0.57,24.998,21.211
1517900371.52,69997.01,-0.61,24.994,21.211
1517900372.52,69997.01,-0.61,24.996,21.233
1517900373.52,69997.01,-0.61,24.995,21.211
1517900374.52,69997.035,-0.25,24.998,21.222
1517900375.52,69997.035,-0.25,24.997,21.222
1517900376.52,69997.035,-0.25,24.999,21.211
1517900377.52,69997.035,-0.25,24.998,21.211
1517900378.52,69997.051,-0.02,25.001,21.211
1517900379.52,69997.051,-0.02,24.999,21.222
1517900380.52,69997.051,-0.02,25.0,21.19
1517900381.52,69997.104,0.73,24.997,21.211
1517900382.52,69997.104,0.73,24.997,21.201
1517900383.52,69997.104,0.73,24.994,21.211
1517900384.52,69997.068,0.22,24.997,21.201
1517900385.52,69997.068,0.22,24.996,21.201
1517900386.52,69997.068,0.22,25.001,21.222
1517900387.52,69997.068,0.22,24.999,21.201
1517900388.52,69997.033,-0.28,25.001,21.19
1517900389.52,69997.033,-0.28,24.999,21.211
1517900390.52,69997.033,-0.28,25.001,21.201
1517900391.52,69997.025,-0.39,24.999,21.201
1517900392.52,69997.025,-0.39,25.0,21.211
1517900393.52,69997.025,-0.39,24.999,21.201
1517900394.52,69997.025,-0.39,25.0,21.201
1517900395.52,69997.013,-0.57,24.998,21.19
1517900396.52,69997.013,-0.57,25.002,21.201
1517900397.52,69997.013,-0.57,25.002,21.211
1517900398.52,69997.062,0.13,25.006,21.211
1517900399.52,69997.062,0.13,25.001,21.222
1517900400.52,69997.062,0.13,25.001,21.19
1517900401.53,69997.106,0.76,24.997,21.222
1517900402.53,69997.106,0.76,24.996,21.201
1517900403.53,69997.106,0.76,24.994,21.179
1517900404.52,69997.106,0.76,24.998,21.211
1517900405.52,69997.058,0.08,24.999,21.222
1517900406.52,69997.058,0.08,25.003,21.19
1517900407.52,69997.058,0.08,25.004,21.211
1517900408.53,69997.01,-0.61,25.006,21.233
1517900409.53,69997.01,-0.61,25.002,21.201
1517900410.53,69997.01,-0.61,25.001,21.201
1517900411.53,69997.025,-0.39,24.995,21.19
1517900412.53,69997.025,-0.39,24.995,21.201
1517900413.53,69997.025,-0.39,24.993,21.201
1517900414.53,69997.025,-0.39,24.998,21.19
1517900415.53,69996.987,-0.94,24.998,21.201
1517900416.53,69996.987,-0.94,25.005,21.211
1517900417.53,69996.987,-0.94,25.006,21.222
1517900418.53,69997.073,0.29,25.007,21.201
